[2026-04-23 14:34:41] INFO     db — Database initialized.
[2026-04-23 14:34:42] INFO     auth — Default admin account created: 'admin'
[2026-04-23 14:35:02] INFO     db — Database initialized.
[2026-04-23 14:35:02] INFO     auth — Login successful: admin
[2026-04-23 14:35:02] INFO     db — Database initialized.
[2026-04-23 14:35:15] INFO     db — Database initialized.
[2026-04-23 14:35:26] INFO     db — Database initialized.
[2026-04-23 14:36:26] INFO     db — Database initialized.
[2026-04-23 14:36:26] INFO     db — Database initialized.
[2026-04-23 15:04:15] INFO     db — Database initialized.
[2026-04-23 15:04:15] INFO     db — Database initialized.
[2026-04-23 15:04:15] INFO     db — Database initialized.
[2026-04-23 15:05:41] INFO     db — Database initialized.
[2026-04-23 15:05:41] INFO     auth — Login successful: admin
[2026-04-23 15:05:51] INFO     db — Database initialized.
[2026-04-23 15:07:59] INFO     db — Database initialized.
[2026-04-23 15:08:37] INFO     db — Database initialized.
[2026-04-23 15:08:37] INFO     auth — Login successful: admin
[2026-04-23 15:08:54] INFO     db — Database initialized.
[2026-04-23 15:09:26] INFO     db — Database initialized.
[2026-04-23 15:09:26] INFO     auth — Login successful: admin
[2026-04-23 15:30:58] INFO     db — Database initialized.
[2026-04-23 15:30:58] INFO     db — Database initialized.
[2026-04-23 15:30:58] INFO     db — Database initialized.
[2026-04-23 15:30:58] INFO     db — Database initialized.
[2026-04-23 15:31:13] INFO     db — Database initialized.
[2026-04-23 15:33:12] INFO     db — Database initialized.
[2026-04-23 15:33:12] INFO     auth — Login successful: admin
[2026-04-23 15:33:13] INFO     db — Database initialized.
[2026-04-23 15:36:01] INFO     db — Database initialized.
[2026-04-23 15:45:23] DEBUG    utils.loader —   Loaded 1 pages from 14109.pdf
[2026-04-23 15:45:23] DEBUG    utils.loader —   Loaded 1 pages from 14134.pdf
[2026-04-23 15:45:23] DEBUG    utils.loader —   Loaded 1 pages from 14135.pdf
[2026-04-23 15:45:23] DEBUG    utils.loader —   Loaded 2 pages from 14200.pdf
[2026-04-23 15:45:23] DEBUG    utils.loader —   Loaded 1 pages from 14208.pdf
[2026-04-23 15:45:23] DEBUG    utils.loader —   Loaded 1 pages from 14223.pdf
[2026-04-23 15:45:23] DEBUG    utils.loader —   Loaded 1 pages from 16629.pdf
[2026-04-23 15:45:23] DEBUG    utils.loader —   Loaded 2 pages from 16854.pdf
[2026-04-23 15:45:24] DEBUG    utils.loader —   Loaded 1 pages from 16920.pdf
[2026-04-23 15:45:24] DEBUG    utils.loader —   Loaded 1 pages from 17148.pdf
[2026-04-23 15:45:24] DEBUG    utils.loader —   Loaded 1 pages from 17433.pdf
[2026-04-23 15:45:24] DEBUG    utils.loader —   Loaded 1 pages from 17440.pdf
[2026-04-23 15:45:24] DEBUG    utils.loader —   Loaded 2 pages from 17496.pdf
[2026-04-23 15:45:25] DEBUG    utils.loader —   Loaded 2 pages from 17496_1.pdf
[2026-04-23 15:45:25] DEBUG    utils.loader —   Loaded 2 pages from 17496_2.pdf
[2026-04-23 15:45:25] DEBUG    utils.loader —   Loaded 1 pages from 17638.pdf
[2026-04-23 15:45:25] DEBUG    utils.loader —   Loaded 1 pages from 17692.pdf
[2026-04-23 15:45:25] DEBUG    utils.loader —   Loaded 1 pages from 17692_1.pdf
[2026-04-23 15:45:25] DEBUG    utils.loader —   Loaded 1 pages from 17692_2.pdf
[2026-04-23 15:45:25] DEBUG    utils.loader —   Loaded 1 pages from 17693.pdf
[2026-04-23 15:45:26] DEBUG    utils.loader —   Loaded 1 pages from 17693_1.pdf
[2026-04-23 15:45:26] DEBUG    utils.loader —   Loaded 1 pages from 17693_2.pdf
[2026-04-23 15:45:26] DEBUG    utils.loader —   Loaded 1 pages from 17703.pdf
[2026-04-23 15:45:26] DEBUG    utils.loader —   Loaded 1 pages from 17703_1.pdf
[2026-04-23 15:45:26] DEBUG    utils.loader —   Loaded 1 pages from 17703_2.pdf
[2026-04-23 15:45:26] DEBUG    utils.loader —   Loaded 1 pages from 17923.pdf
[2026-04-23 15:45:26] DEBUG    utils.loader —   Loaded 1 pages from 17925.pdf
[2026-04-23 15:45:26] DEBUG    utils.loader —   Loaded 1 pages from 17935.pdf
